"method","target","itempool_size","replication","rmse","overexposed","utilization_01","utilization_03","utilization_05","uniformity","max_spike","max_spike_1","max_spike_2","max_spike_3","max_spike_4","max_spike_5"
"no-exposure-control","0.25","900",34,0.264556897262067,0.0433333333333333,0.19,0.171111111111111,0.156666666666667,0.487398976498012,1,1,1,1,1,1
"no-exposure-control","0.25","900",35,0.266638989787331,0.0433333333333333,0.19,0.171111111111111,0.151111111111111,0.486040857624158,1,1,1,1,1,1
"no-exposure-control","0.25","900",36,0.269436702084169,0.0444444444444444,0.191111111111111,0.171111111111111,0.156666666666667,0.496417821656852,1,1,1,1,1,1
"no-exposure-control","0.25","900",37,0.262155315056234,0.0433333333333333,0.192222222222222,0.172222222222222,0.156666666666667,0.48814107105966,1,1,1,1,1,1
"no-exposure-control","0.25","900",38,0.266346416372254,0.0444444444444444,0.19,0.17,0.155555555555556,0.485918089700649,1,1,1,1,1,1
"no-exposure-control","0.25","900",39,0.266214571872957,0.0433333333333333,0.19,0.171111111111111,0.154444444444444,0.486301679338911,1,1,1,1,1,1
"no-exposure-control","0.25","900",40,0.264704752132157,0.0444444444444444,0.188888888888889,0.17,0.154444444444444,0.486602528572012,1,1,1,1,1,1
"no-exposure-control","0.25","900",41,0.263212526322809,0.0433333333333333,0.188888888888889,0.171111111111111,0.154444444444444,0.486660406407623,1,1,1,1,1,1
"no-exposure-control","0.25","900",42,0.267023783613415,0.0433333333333333,0.191111111111111,0.172222222222222,0.156666666666667,0.487659823380326,1,1,1,1,1,1
"no-exposure-control","0.25","900",43,0.264302775027987,0.0433333333333333,0.19,0.172222222222222,0.156666666666667,0.487493974026898,1,1,1,1,1,1
"no-exposure-control","0.25","900",44,0.264209850227952,0.0433333333333333,0.19,0.171111111111111,0.156666666666667,0.495714215534687,1,1,1,1,1,1
"no-exposure-control","0.25","900",45,0.266331428821775,0.0444444444444444,0.19,0.173333333333333,0.155555555555556,0.487452513823922,1,1,1,1,1,1
